target,baseline,metric,mean_difference,ci_low,ci_high,paired_sessions,bootstrap_samples,joint_qoe_risk_dominance_probability
safesabr_selective_rescue,cmab,qoe,-575.5206666590366,-796.3839633282025,-365.4828299952189,30,20000,0.0
safesabr_selective_rescue,cmab,average_bitrate_mbps,-22.40972222222223,-31.091805555555556,-14.311458333333361,30,20000,0.0
safesabr_selective_rescue,cmab,total_rebuffer_s,-20.691150000190735,-32.82329616687696,-9.977897416682243,30,20000,0.0
safesabr_selective_rescue,cmab,worst_5pct_rebuffer_s,-109.29704999876023,-119.05860000038146,-62.58330000019073,30,20000,0.0
safesabr_selective_rescue,cmab,severe_session_ratio,-0.2666666666666667,-0.43333333333333335,-0.10000000000000003,30,20000,0.0
safesabr_selective_rescue,cmab,wasted_traffic_ratio,0.014958068531385775,0.009239361702963807,0.021291899376194617,30,20000,0.0
safesabr_selective_rescue,dash_dynamic,qoe,1190.3798666674297,941.5497100073494,1445.0559199987722,30,20000,0.0
safesabr_selective_rescue,dash_dynamic,average_bitrate_mbps,32.71875,27.597847222222217,37.79100694444443,30,20000,0.0
safesabr_selective_rescue,dash_dynamic,total_rebuffer_s,5.026336666647593,3.78606583326896,6.312359749533334,30,20000,0.0
safesabr_selective_rescue,dash_dynamic,worst_5pct_rebuffer_s,11.521050000667573,7.430550000667571,14.36440000152588,30,20000,0.0
safesabr_selective_rescue,dash_dynamic,severe_session_ratio,0.16666666666666666,0.06666666666666667,0.3,30,20000,0.0
safesabr_selective_rescue,dash_dynamic,wasted_traffic_ratio,0.013997227031082301,0.008559001714902746,0.01998313192858721,30,20000,0.0
safesabr_selective_rescue,lumos_mpc,qoe,563.8637333323159,364.1046133453686,759.4262699999169,30,20000,1.0
safesabr_selective_rescue,lumos_mpc,average_bitrate_mbps,-14.725694444444457,-21.131961805555566,-8.75890625000002,30,20000,1.0
safesabr_selective_rescue,lumos_mpc,total_rebuffer_s,-35.55492666664124,-42.56749575045108,-29.06213491670529,30,20000,1.0
safesabr_selective_rescue,lumos_mpc,worst_5pct_rebuffer_s,-71.68069999790191,-74.09339999771117,-62.92879999876021,30,20000,1.0
safesabr_selective_rescue,lumos_mpc,severe_session_ratio,-0.7666666666666667,-0.9,-0.6333333333333333,30,20000,1.0
safesabr_selective_rescue,lumos_mpc,wasted_traffic_ratio,0.014958068531385775,0.009210032919370097,0.021163600085112033,30,20000,1.0
safesabr_selective_rescue,robust_mpc,qoe,155.59799999999996,-6.394846652953077,311.927680001672,30,20000,0.94525
safesabr_selective_rescue,robust_mpc,average_bitrate_mbps,5.047222222222217,2.7201041666666606,7.500034722222219,30,20000,0.94525
safesabr_selective_rescue,robust_mpc,total_rebuffer_s,-2.1657833333333336,-4.236783416755199,-0.2781944996221876,30,20000,0.94525
safesabr_selective_rescue,robust_mpc,worst_5pct_rebuffer_s,-15.046650000095365,-21.159900001525873,-4.78764999961853,30,20000,0.94525
safesabr_selective_rescue,robust_mpc,severe_session_ratio,-0.13333333333333333,-0.3,0.0,30,20000,0.94525
safesabr_selective_rescue,robust_mpc,wasted_traffic_ratio,0.014958068531385775,0.009212379558288764,0.02122113306337796,30,20000,0.94525
safesabr_selective_rescue,sara,qoe,144.72186667505866,7.9880466851233125,275.8324700039539,30,20000,0.9787
safesabr_selective_rescue,sara,average_bitrate_mbps,4.783333333333331,2.776996527777781,6.853472222222223,30,20000,0.9787
safesabr_selective_rescue,sara,total_rebuffer_s,-2.2338800002098083,-3.9675304170584673,-0.6899657502818106,30,20000,0.9787
safesabr_selective_rescue,sara,worst_5pct_rebuffer_s,-16.05150000095367,-19.512000002861022,-4.867450000762933,30,20000,0.9787
safesabr_selective_rescue,sara,severe_session_ratio,-0.13333333333333333,-0.26666666666666666,-0.033333333333333326,30,20000,0.9787
safesabr_selective_rescue,sara,wasted_traffic_ratio,0.014958068531385775,0.009185259814230915,0.021334856757420008,30,20000,0.9787
safesabr_selective_rescue,starnet_mpc,qoe,596.7246666552228,349.8417033225696,860.1514699819238,30,20000,1.0
safesabr_selective_rescue,starnet_mpc,average_bitrate_mbps,-9.285416666666677,-14.81465277777779,-3.954826388888895,30,20000,1.0
safesabr_selective_rescue,starnet_mpc,total_rebuffer_s,-32.49811666638057,-42.10611883271217,-24.632441583619915,30,20000,1.0
safesabr_selective_rescue,starnet_mpc,worst_5pct_rebuffer_s,-86.82144999599457,-111.06049999713895,-54.99290000152587,30,20000,1.0
safesabr_selective_rescue,starnet_mpc,severe_session_ratio,-0.7333333333333334,-0.8666666666666667,-0.6000000000000001,30,20000,1.0
safesabr_selective_rescue,starnet_mpc,wasted_traffic_ratio,0.014958068531385775,0.009231292312885192,0.021200001306051184,30,20000,1.0
safesabr_selective_rescue,wabb,qoe,2110.8367999890647,1703.7480933296206,2501.6140366497048,30,20000,1.0
safesabr_selective_rescue,wabb,average_bitrate_mbps,13.736111111111114,6.330555555555549,20.602378472222203,30,20000,1.0
safesabr_selective_rescue,wabb,total_rebuffer_s,-14.42508666639328,-19.35864574963331,-10.149851333301065,30,20000,1.0
safesabr_selective_rescue,wabb,worst_5pct_rebuffer_s,-42.967499999046325,-45.431600000858325,-27.74484999990463,30,20000,1.0
safesabr_selective_rescue,wabb,severe_session_ratio,-0.5666666666666667,-0.7000000000000001,-0.4333333333333333,30,20000,1.0
safesabr_selective_rescue,wabb,wasted_traffic_ratio,0.014958068531385775,0.009145118061965093,0.021183766380442063,30,20000,1.0
